Original Line,Original Title,New Document,New Section Title,Routing Method
9236,Intelligent Recommendations,08_IntelligenceEngine.md,Intelligent Recommendations,keyword
10580,Logical Intelligence,08_IntelligenceEngine.md,Logical Intelligence,keyword
10614,Intelligence Instances,08_IntelligenceEngine.md,Intelligence Instances,keyword
10633,Intelligence Lifecycle,08_IntelligenceEngine.md,Intelligence Lifecycle,keyword
10679,Intelligence Pool,08_IntelligenceEngine.md,Intelligence Pool,keyword
10761,Composite Intelligence,08_IntelligenceEngine.md,Composite Intelligence,keyword
10824,Intelligence Quality Evaluation,08_IntelligenceEngine.md,Intelligence Quality Evaluation,keyword
10842,Intelligence Evolution,08_IntelligenceEngine.md,Intelligence Evolution,keyword
10860,Artificial Intelligence Independence,08_IntelligenceEngine.md,Artificial Intelligence Independence,keyword
10875,Artificial Intelligence Operating Principles,08_IntelligenceEngine.md,Artificial Intelligence Operating Principles,keyword
10893,Cognitive Operating Environment,08_IntelligenceEngine.md,Cognitive Operating Environment,keyword
10912,Cognitive Reasoning Engine (CRE),08_IntelligenceEngine.md,Cognitive Reasoning Engine (CRE),keyword
10924,Reasoning Independence,08_IntelligenceEngine.md,Reasoning Independence,keyword
10939,Reasoning Strategies,08_IntelligenceEngine.md,Reasoning Strategies,keyword
10960,Adaptive Reasoning,08_IntelligenceEngine.md,Adaptive Reasoning,keyword
10980,Multi-Stage Reasoning,08_IntelligenceEngine.md,Multi-Stage Reasoning,keyword
11028,Recursive Reasoning,08_IntelligenceEngine.md,Recursive Reasoning,keyword
11043,Multi-Perspective Reasoning,08_IntelligenceEngine.md,Multi-Perspective Reasoning,keyword
11071,Engineering Debate,08_IntelligenceEngine.md,Engineering Debate,keyword
11086,Engineering Trade-Off Analysis,08_IntelligenceEngine.md,Engineering Trade-Off Analysis,keyword
11103,Reasoning Confidence,08_IntelligenceEngine.md,Reasoning Confidence,keyword
11121,Uncertainty Management,08_IntelligenceEngine.md,Uncertainty Management,keyword
11138,Cognitive Planning,08_IntelligenceEngine.md,Cognitive Planning,keyword
11157,Self-Reflection,08_IntelligenceEngine.md,Self-Reflection,keyword
11173,Meta-Reasoning,08_IntelligenceEngine.md,Meta-Reasoning,keyword
11204,Human Cognitive Collaboration,08_IntelligenceEngine.md,Human Cognitive Collaboration,keyword
11218,Continuous Cognitive Improvement,08_IntelligenceEngine.md,Continuous Cognitive Improvement,keyword
11235,Cognitive Reasoning Principles,08_IntelligenceEngine.md,Cognitive Reasoning Principles,keyword
123,Capability-Based Execution,09_PlanningExecution.md,Capability-Based Execution,keyword
452,Engineering Workflow Lifecycle,09_PlanningExecution.md,Engineering Workflow Lifecycle,keyword
540,Engineering Decomposition,09_PlanningExecution.md,Engineering Decomposition,keyword
558,Intelligent Task Planning,09_PlanningExecution.md,Intelligent Task Planning,keyword
577,Parallel Engineering Execution,09_PlanningExecution.md,Parallel Engineering Execution,keyword
595,Dynamic Workflow Adaptation,09_PlanningExecution.md,Dynamic Workflow Adaptation,keyword
613,Workflow State Management,09_PlanningExecution.md,Workflow State Management,keyword
639,Workflow Transitions,09_PlanningExecution.md,Workflow Transitions,keyword
1299,Engineering Request Interpretation,09_PlanningExecution.md,Engineering Request Interpretation,keyword
1593,Autonomous Engineering Planning,09_PlanningExecution.md,Autonomous Engineering Planning,keyword
2474,Workflow Templates,09_PlanningExecution.md,Workflow Templates,keyword
2496,Workflow Composition,09_PlanningExecution.md,Workflow Composition,keyword
2557,Engineering Workflow Personalization,09_PlanningExecution.md,Engineering Workflow Personalization,keyword
2644,Workflow Continuation,09_PlanningExecution.md,Workflow Continuation,keyword
2663,Checkpoint Management,09_PlanningExecution.md,Checkpoint Management,keyword
3940,Explainable Engineering Execution,09_PlanningExecution.md,Explainable Engineering Execution,keyword
4205,Goal-Oriented Execution,09_PlanningExecution.md,Goal-Oriented Execution,keyword
4227,Autonomous Workflow Expansion,09_PlanningExecution.md,Autonomous Workflow Expansion,keyword
4283,Long-Running Engineering Workflows,09_PlanningExecution.md,Long-Running Engineering Workflows,keyword
5043,Multi-User Collaboration,09_PlanningExecution.md,Multi-User Collaboration,keyword
5061,Role-Based Engineering,09_PlanningExecution.md,Role-Based Engineering,keyword
5082,Workspace Collaboration,09_PlanningExecution.md,Workspace Collaboration,keyword
5099,Intelligent Task Assignment,09_PlanningExecution.md,Intelligent Task Assignment,keyword
5120,Autonomous Delegation,09_PlanningExecution.md,Autonomous Delegation,keyword
5135,Engineering Coordination,09_PlanningExecution.md,Engineering Coordination,keyword
5152,Intelligent Work Distribution,09_PlanningExecution.md,Intelligent Work Distribution,keyword
6081,Autonomous Workflow Automation,09_PlanningExecution.md,Autonomous Workflow Automation,keyword
6163,Intelligent Workflow Supervision,09_PlanningExecution.md,Intelligent Workflow Supervision,keyword
6180,Autonomous Workflow Correction,09_PlanningExecution.md,Autonomous Workflow Correction,keyword
6966,Long-Running Processes,09_PlanningExecution.md,Long-Running Processes,keyword
8222,Autonomous Objective Decomposition,09_PlanningExecution.md,Autonomous Objective Decomposition,keyword
8922,Objective-Based Interaction,09_PlanningExecution.md,Objective-Based Interaction,keyword
8958,Intelligent Request Interpretation,09_PlanningExecution.md,Intelligent Request Interpretation,keyword
8976,Autonomous Workflow Generation,09_PlanningExecution.md,Autonomous Workflow Generation,keyword
9480,Asynchronous Execution,09_PlanningExecution.md,Asynchronous Execution,keyword
9497,Real-Time Collaboration,09_PlanningExecution.md,Real-Time Collaboration,keyword
9513,Distributed Workflow Coordination,09_PlanningExecution.md,Distributed Workflow Coordination,keyword
9918,Workflow Orchestration Layer,09_PlanningExecution.md,Workflow Orchestration Layer,keyword
11252,Autonomous Planning & Execution Engine (APEE),09_PlanningExecution.md,Autonomous Planning & Execution Engine (APEE),keyword
11264,Engineering Objective Model,09_PlanningExecution.md,Engineering Objective Model,keyword
11285,Objective Decomposition,09_PlanningExecution.md,Objective Decomposition,keyword
11337,Engineering Planning,09_PlanningExecution.md,Engineering Planning,keyword
11356,Long-Term Planning,09_PlanningExecution.md,Long-Term Planning,keyword
11372,Incremental Planning,09_PlanningExecution.md,Incremental Planning,keyword
11388,Autonomous Replanning,09_PlanningExecution.md,Autonomous Replanning,keyword
11405,Engineering Milestones,09_PlanningExecution.md,Engineering Milestones,keyword
11422,Engineering Dependencies,09_PlanningExecution.md,Engineering Dependencies,override
11439,Autonomous Execution,09_PlanningExecution.md,Autonomous Execution,keyword
11454,Execution Supervision,09_PlanningExecution.md,Execution Supervision,keyword
11471,Predictive Planning,09_PlanningExecution.md,Predictive Planning,keyword
11486,Continuous Plan Optimization,09_PlanningExecution.md,Continuous Plan Optimization,keyword
11503,Autonomous Planning Principles,09_PlanningExecution.md,Autonomous Planning Principles,keyword
1500,Intelligent Memory Management,10_KnowledgeMemory.md,Intelligent Memory Management,keyword
1519,PROJECT_STATE Integration,10_KnowledgeMemory.md,PROJECT_STATE Integration,keyword
1535,Engineering Knowledge Base,10_KnowledgeMemory.md,Engineering Knowledge Base,keyword
1554,Engineering Learning Engine,10_KnowledgeMemory.md,Engineering Learning Engine,keyword
2282,Engineering Knowledge Graph,10_KnowledgeMemory.md,Engineering Knowledge Graph,keyword
2790,Persistent Memory Architecture,10_KnowledgeMemory.md,Persistent Memory Architecture,keyword
2811,T-BIT Integration,10_KnowledgeMemory.md,T-BIT Integration,override
2838,Unified Memory Model,10_KnowledgeMemory.md,Unified Memory Model,keyword
2857,Multi-Layer Memory Architecture,10_KnowledgeMemory.md,Multi-Layer Memory Architecture,keyword
2937,Memory Synchronization,10_KnowledgeMemory.md,Memory Synchronization,keyword
3750,Universal Memory Interface,10_KnowledgeMemory.md,Universal Memory Interface,keyword
3976,Digital Twin,10_KnowledgeMemory.md,Digital Twin,keyword
4398,Universal Knowledge Operating System,10_KnowledgeMemory.md,Universal Knowledge Operating System,keyword
4416,Engineering Knowledge Evolution,10_KnowledgeMemory.md,Engineering Knowledge Evolution,keyword
4696,Universal Context Fabric,10_KnowledgeMemory.md,Universal Context Fabric,keyword
4753,Universal Engineering Memory,10_KnowledgeMemory.md,Universal Engineering Memory,keyword
4788,Engineering Knowledge Continuity,10_KnowledgeMemory.md,Engineering Knowledge Continuity,keyword
4986,Organizational Memory,10_KnowledgeMemory.md,Organizational Memory,keyword
5006,Organizational Knowledge Evolution,10_KnowledgeMemory.md,Organizational Knowledge Evolution,keyword
5023,Organizational Digital Twin,10_KnowledgeMemory.md,Organizational Digital Twin,keyword
5927,Universal Memory Provider Interface,10_KnowledgeMemory.md,Universal Memory Provider Interface,keyword
5988,Universal Knowledge Interface,10_KnowledgeMemory.md,Universal Knowledge Interface,keyword
7219,Unified Memory Abstraction,10_KnowledgeMemory.md,Unified Memory Abstraction,keyword
7255,Universal Knowledge Namespace,10_KnowledgeMemory.md,Universal Knowledge Namespace,keyword
8514,Engineering Digital Twin,10_KnowledgeMemory.md,Engineering Digital Twin,keyword
8535,Intelligent Project Evolution,10_KnowledgeMemory.md,Intelligent Project Evolution,keyword
8553,Engineering Timeline,10_KnowledgeMemory.md,Engineering Timeline,keyword
8573,Knowledge Continuity,10_KnowledgeMemory.md,Knowledge Continuity,keyword
8590,Intelligent Context Evolution,10_KnowledgeMemory.md,Intelligent Context Evolution,keyword
8609,Autonomous Knowledge Capture,10_KnowledgeMemory.md,Autonomous Knowledge Capture,keyword
8628,Intelligent Knowledge Consolidation,10_KnowledgeMemory.md,Intelligent Knowledge Consolidation,keyword
8695,Knowledge Validation,10_KnowledgeMemory.md,Knowledge Validation,keyword
11189,Cognitive Memory Integration,10_KnowledgeMemory.md,Cognitive Memory Integration,keyword
14801,Memory Philosophy,10_KnowledgeMemory.md,Memory Philosophy,chapter
14813,Memory Object Identity,10_KnowledgeMemory.md,Memory Object Identity,chapter
14832,Memory Categories,10_KnowledgeMemory.md,Memory Categories,chapter
14884,Memory Object Structure,10_KnowledgeMemory.md,Memory Object Structure,chapter
14928,Memory Metadata,10_KnowledgeMemory.md,Memory Metadata,chapter
14950,Knowledge Content,10_KnowledgeMemory.md,Knowledge Content,chapter
14970,Engineering Context,10_KnowledgeMemory.md,Engineering Context,chapter
14990,Memory Relationships,10_KnowledgeMemory.md,Memory Relationships,chapter
15010,Memory Evidence,10_KnowledgeMemory.md,Memory Evidence,chapter
15029,Memory Confidence,10_KnowledgeMemory.md,Memory Confidence,chapter
15046,Memory Lifecycle,10_KnowledgeMemory.md,Memory Lifecycle,chapter
15092,Memory Versioning,10_KnowledgeMemory.md,Memory Versioning,chapter
15109,Memory Indexing,10_KnowledgeMemory.md,Memory Indexing,chapter
15126,Memory Federation,10_KnowledgeMemory.md,Memory Federation,chapter
15160,Memory Privacy,10_KnowledgeMemory.md,Memory Privacy,chapter
15177,Memory Governance,10_KnowledgeMemory.md,Memory Governance,chapter
15192,Memory Quality,10_KnowledgeMemory.md,Memory Quality,chapter
15210,Memory Retrieval,10_KnowledgeMemory.md,Memory Retrieval,chapter
15225,Memory Evolution,10_KnowledgeMemory.md,Memory Evolution,chapter
15243,Memory Object Principles,10_KnowledgeMemory.md,Memory Object Principles,chapter
15261,Knowledge Graph Specification (KGS),10_KnowledgeMemory.md,Knowledge Graph Specification (KGS),chapter
15271,Knowledge Graph Philosophy,10_KnowledgeMemory.md,Knowledge Graph Philosophy,chapter
15281,Knowledge Graph Identity,10_KnowledgeMemory.md,Knowledge Graph Identity,chapter
15296,Graph Nodes,10_KnowledgeMemory.md,Graph Nodes,chapter
15346,Graph Relationships,10_KnowledgeMemory.md,Graph Relationships,chapter
15398,Relationship Metadata,10_KnowledgeMemory.md,Relationship Metadata,chapter
15418,Semantic Context,10_KnowledgeMemory.md,Semantic Context,chapter
15436,Graph Evolution,10_KnowledgeMemory.md,Graph Evolution,chapter
15455,Knowledge Graph Indexing,10_KnowledgeMemory.md,Knowledge Graph Indexing,chapter
15472,Engineering Dependency Graph,10_KnowledgeMemory.md,Engineering Dependency Graph,chapter
15526,Knowledge Confidence,10_KnowledgeMemory.md,Knowledge Confidence,chapter
15543,Knowledge Navigation,10_KnowledgeMemory.md,Knowledge Navigation,chapter
15560,Knowledge Retrieval,10_KnowledgeMemory.md,Knowledge Retrieval,chapter
15575,Graph Synchronization,10_KnowledgeMemory.md,Graph Synchronization,chapter
15590,Organizational Knowledge,10_KnowledgeMemory.md,Organizational Knowledge,chapter
15606,Explainable Knowledge,10_KnowledgeMemory.md,Explainable Knowledge,chapter
15623,Knowledge Governance,10_KnowledgeMemory.md,Knowledge Governance,chapter
15638,Knowledge Graph Principles,10_KnowledgeMemory.md,Knowledge Graph Principles,chapter
15656,Kernel Event Protocol (KEP),10_KnowledgeMemory.md,Kernel Event Protocol (KEP),chapter
198,Intelligent Capability Routing,11_Communication.md,Intelligent Capability Routing,keyword
3179,Event-Driven Architecture,11_Communication.md,Event-Driven Architecture,keyword
3205,Engineering Event Bus,11_Communication.md,Engineering Event Bus,keyword
3704,Artificial Intelligence Federation,11_Communication.md,Artificial Intelligence Federation,keyword
3736,Engineering Provider Federation,11_Communication.md,Engineering Provider Federation,keyword
3769,Memory Provider Federation,11_Communication.md,Memory Provider Federation,keyword
3801,Engineering Resource Federation,11_Communication.md,Engineering Resource Federation,keyword
4171,Intelligent Conversation Engine,11_Communication.md,Intelligent Conversation Engine,keyword
4659,Engineering Mesh,11_Communication.md,Engineering Mesh,keyword
4677,Engineering Service Mesh,11_Communication.md,Engineering Service Mesh,keyword
4733,Intelligent Context Federation,11_Communication.md,Intelligent Context Federation,keyword
5169,Engineering Notifications,11_Communication.md,Engineering Notifications,keyword
6548,Resource Federation,11_Communication.md,Resource Federation,keyword
8106,AI Native Event System,11_Communication.md,AI Native Event System,keyword
9342,AIOS Communication Architecture,11_Communication.md,AIOS Communication Architecture,keyword
9354,Kernel Communication Bus,11_Communication.md,Kernel Communication Bus,keyword
9379,Message-Oriented Architecture,11_Communication.md,Message-Oriented Architecture,keyword
9400,AI Message Model,11_Communication.md,AI Message Model,keyword
9421,Event-Driven Intelligence,11_Communication.md,Event-Driven Intelligence,keyword
9463,Streaming Architecture,11_Communication.md,Streaming Architecture,keyword
9529,AI Native Notification Framework,11_Communication.md,AI Native Notification Framework,keyword
9548,Intelligent Conversation Management,11_Communication.md,Intelligent Conversation Management,keyword
9566,Multi-Conversation Intelligence,11_Communication.md,Multi-Conversation Intelligence,keyword
9617,Universal Session Bus,11_Communication.md,Universal Session Bus,keyword
9634,Cross-Organization Federation,11_Communication.md,Cross-Organization Federation,keyword
9650,Enterprise Integration Framework,11_Communication.md,Enterprise Integration Framework,keyword
9669,Universal API Gateway,11_Communication.md,Universal API Gateway,keyword
9687,AI Native Command Bus,11_Communication.md,AI Native Command Bus,keyword
9705,AI Native Query Engine,11_Communication.md,AI Native Query Engine,keyword
10725,Intelligence Federation,11_Communication.md,Intelligence Federation,keyword
15668,Event Philosophy,11_Communication.md,Event Philosophy,chapter
15680,Event Identity,11_Communication.md,Event Identity,chapter
15697,Event Categories,11_Communication.md,Event Categories,chapter
15747,Event Structure,11_Communication.md,Event Structure,chapter
15783,Event Metadata,11_Communication.md,Event Metadata,chapter
15804,Event Payload,11_Communication.md,Event Payload,chapter
15818,Event Publishing,11_Communication.md,Event Publishing,chapter
15842,Event Subscription,11_Communication.md,Event Subscription,chapter
15859,Event Routing,11_Communication.md,Event Routing,chapter
15876,Event Ordering,11_Communication.md,Event Ordering,chapter
15886,Event Correlation,11_Communication.md,Event Correlation,chapter
15902,Event Persistence,11_Communication.md,Event Persistence,chapter
15918,Event Replay,11_Communication.md,Event Replay,chapter
15935,Event Streaming,11_Communication.md,Event Streaming,chapter
15952,Event Priorities,11_Communication.md,Event Priorities,chapter
15972,Event Reliability,11_Communication.md,Event Reliability,chapter
15988,Event Security,11_Communication.md,Event Security,chapter
16001,Event Lifecycle,11_Communication.md,Event Lifecycle,chapter
16039,Event Telemetry,11_Communication.md,Event Telemetry,chapter
16055,Event Governance,11_Communication.md,Event Governance,chapter
16069,Kernel Event Principles,11_Communication.md,Kernel Event Principles,chapter
16087,Kernel Communication Protocol (KCP),11_Communication.md,Kernel Communication Protocol (KCP),chapter
16099,Communication Philosophy,11_Communication.md,Communication Philosophy,chapter
16111,Communication Participants,11_Communication.md,Communication Participants,chapter
16138,Communication Model,11_Communication.md,Communication Model,chapter
16182,Communication Contracts,11_Communication.md,Communication Contracts,chapter
16200,Message Types,11_Communication.md,Message Types,chapter
16248,Communication Sessions,11_Communication.md,Communication Sessions,chapter
16265,Session Lifecycle,11_Communication.md,Session Lifecycle,chapter
16307,Service Discovery,11_Communication.md,Communication Endpoint Discovery,chapter
16323,Capability Negotiation,11_Communication.md,Capability Negotiation,chapter
16339,Communication Routing,11_Communication.md,Communication Routing,chapter
16356,Reliable Delivery,11_Communication.md,Reliable Delivery,chapter
16372,Streaming Communication,11_Communication.md,Streaming Communication,chapter
16390,Flow Control,11_Communication.md,Flow Control,chapter
16405,Communication Security,11_Communication.md,Communication Security,chapter
16422,Communication Isolation,11_Communication.md,Communication Isolation,chapter
16437,Error Handling,11_Communication.md,Communication Error Handling,chapter
16454,Communication Observability,11_Communication.md,Communication Observability,chapter
16472,Communication Audit,11_Communication.md,Communication Audit,chapter
16489,Protocol Versioning,11_Communication.md,Protocol Versioning,chapter
16503,Kernel Communication Principles,11_Communication.md,Kernel Communication Principles,chapter
16522,Kernel System Call Specification (KSCS),11_Communication.md,Kernel System Call Specification (KSCS),chapter
763,Engineering Agent Virtualization,12_HardwareVirtualization.md,Engineering Agent Virtualization,keyword
4715,Context Virtualization,12_HardwareVirtualization.md,Context Virtualization,keyword
6576,Resource Virtualization,12_HardwareVirtualization.md,Resource Virtualization,keyword
7640,Tool Virtualization,12_HardwareVirtualization.md,Tool Virtualization,keyword
9274,Multi-Device Experience,12_HardwareVirtualization.md,Multi-Device Experience,keyword
10206,AI Hardware Abstraction Layer (AI-HAL),12_HardwareVirtualization.md,AI Hardware Abstraction Layer (AI-HAL),keyword
10218,Hardware Independence,12_HardwareVirtualization.md,Hardware Independence,keyword
10239,Compute Resource Virtualization,12_HardwareVirtualization.md,Compute Resource Virtualization,keyword
10256,Compute Capability Registry,12_HardwareVirtualization.md,Compute Capability Registry,keyword
10277,Intelligent Hardware Discovery,12_HardwareVirtualization.md,Intelligent Hardware Discovery,keyword
10294,Dynamic Compute Scheduling,12_HardwareVirtualization.md,Dynamic Compute Scheduling,keyword
10314,Compute Allocation,12_HardwareVirtualization.md,Compute Allocation,keyword
10331,Local Compute Support,12_HardwareVirtualization.md,Local Compute Support,keyword
10348,Enterprise Compute Support,12_HardwareVirtualization.md,Enterprise Compute Support,keyword
10364,Cloud Compute Support,12_HardwareVirtualization.md,Cloud Compute Support,keyword
10380,Hybrid Compute Architecture,12_HardwareVirtualization.md,Hybrid Compute Architecture,keyword
10395,Distributed Compute Engine,12_HardwareVirtualization.md,Distributed Compute Engine,keyword
10411,Hardware Capability Matching,12_HardwareVirtualization.md,Hardware Capability Matching,keyword
10430,Intelligent Workload Placement,12_HardwareVirtualization.md,Intelligent Workload Placement,keyword
10449,Adaptive Compute Scaling,12_HardwareVirtualization.md,Adaptive Compute Scaling,keyword
10465,Hardware Health Monitoring,12_HardwareVirtualization.md,Hardware Health Monitoring,keyword
10484,Energy-Aware Computing,12_HardwareVirtualization.md,Energy-Aware Computing,keyword
10500,Compute Failover,12_HardwareVirtualization.md,Compute Failover,keyword
10516,Compute Federation,12_HardwareVirtualization.md,Compute Federation,keyword
10532,Future Hardware Compatibility,12_HardwareVirtualization.md,Future Hardware Compatibility,keyword
10548,AI Hardware Abstraction Principles,12_HardwareVirtualization.md,AI Hardware Abstraction Principles,keyword
10568,Artificial Intelligence Virtualization Layer (AIVL),12_HardwareVirtualization.md,Artificial Intelligence Virtualization Layer (AIVL),keyword
13182,Workflow Definition Philosophy,13_LanguageSpecifications.md,Workflow Definition Philosophy,chapter
13202,Workflow Identity,13_LanguageSpecifications.md,Workflow Identity,chapter
13219,Workflow Categories,13_LanguageSpecifications.md,Workflow Categories,chapter
13253,Workflow Composition,13_LanguageSpecifications.md,Workflow Composition (WDL Reference),chapter
13271,Workflow Stages,13_LanguageSpecifications.md,Workflow Stages,chapter
13288,Workflow Dependencies,13_LanguageSpecifications.md,Workflow Dependencies,chapter
13305,Workflow Conditions,13_LanguageSpecifications.md,Workflow Conditions,chapter
13324,Workflow Variables,13_LanguageSpecifications.md,Workflow Variables,chapter
13343,Workflow Parameters,13_LanguageSpecifications.md,Workflow Parameters,chapter
13361,Workflow Outputs,13_LanguageSpecifications.md,Output Declaration (WDL Reference),chapter
13381,Approval Gates,13_LanguageSpecifications.md,Approval Gates,chapter
13397,Validation Rules,13_LanguageSpecifications.md,Validation Rules,chapter
13414,Error Handling,13_LanguageSpecifications.md,Workflow Error Handling,chapter
13432,Workflow Reusability,13_LanguageSpecifications.md,Workflow Reusability,chapter
13448,Workflow Versioning,13_LanguageSpecifications.md,Workflow Versioning,chapter
13464,Workflow Portability,13_LanguageSpecifications.md,Workflow Portability,chapter
13478,Workflow Registry,13_LanguageSpecifications.md,Workflow Registry,chapter
13495,Workflow Libraries,13_LanguageSpecifications.md,Workflow Libraries,chapter
13511,Workflow Definition Principles,13_LanguageSpecifications.md,Workflow Definition Principles,chapter
13529,Agent Definition Language (ADL),13_LanguageSpecifications.md,Agent Definition Language (ADL),chapter
13541,Agent Philosophy,13_LanguageSpecifications.md,Agent Philosophy,chapter
13560,Agent Identity,13_LanguageSpecifications.md,Agent Identity,chapter
13579,Agent Categories,13_LanguageSpecifications.md,Agent Categories,chapter
13625,Agent Capabilities,13_LanguageSpecifications.md,Agent Capabilities,chapter
13642,Agent Responsibilities,13_LanguageSpecifications.md,Agent Responsibilities,chapter
13657,Agent Constraints,13_LanguageSpecifications.md,Agent Constraints,chapter
13674,Agent Inputs,13_LanguageSpecifications.md,Agent Inputs,chapter
13693,Agent Outputs,13_LanguageSpecifications.md,Agent Outputs,chapter
13712,Agent Context,13_LanguageSpecifications.md,Agent Context,chapter
13730,Agent Memory,13_LanguageSpecifications.md,Agent Memory,chapter
13745,Agent Collaboration,13_LanguageSpecifications.md,Agent Collaboration,chapter
13762,Agent Lifecycle,13_LanguageSpecifications.md,Agent Lifecycle,chapter
13808,Agent Configuration,13_LanguageSpecifications.md,Agent Configuration,chapter
13825,Agent Specialization,13_LanguageSpecifications.md,Agent Specialization,chapter
13842,Agent Composition,13_LanguageSpecifications.md,Agent Composition,chapter
13859,Agent Versioning,13_LanguageSpecifications.md,Agent Versioning,chapter
13875,Agent Registry,13_LanguageSpecifications.md,Agent Registry,chapter
13893,Agent Packaging,13_LanguageSpecifications.md,Agent Packaging,chapter
13911,Agent Governance,13_LanguageSpecifications.md,Agent Governance,chapter
13925,Agent Definition Principles,13_LanguageSpecifications.md,Agent Definition Principles,chapter
13943,Capability Definition Language (CDL),13_LanguageSpecifications.md,Capability Definition Language (CDL),chapter
13955,Capability Philosophy,13_LanguageSpecifications.md,Capability Philosophy,chapter
13967,Capability Identity,13_LanguageSpecifications.md,Capability Identity,chapter
13983,Capability Categories,13_LanguageSpecifications.md,Capability Categories,chapter
14041,Capability Contract,13_LanguageSpecifications.md,Capability Contract,chapter
14059,Capability Inputs,13_LanguageSpecifications.md,Capability Inputs,chapter
14079,Capability Outputs,13_LanguageSpecifications.md,Capability Outputs,chapter
14099,Capability Preconditions,13_LanguageSpecifications.md,Capability Preconditions,chapter
14117,Capability Postconditions,13_LanguageSpecifications.md,Capability Postconditions,chapter
14133,Capability Dependencies,13_LanguageSpecifications.md,Capability Dependencies,chapter
14165,Capability Composition,13_LanguageSpecifications.md,Capability Composition (CDL Reference),chapter
14175,Capability Discovery,13_LanguageSpecifications.md,Capability Discovery,chapter
14191,Capability Registry,13_LanguageSpecifications.md,Capability Registry (CDL Reference),chapter
14209,Capability Resolution,13_LanguageSpecifications.md,Capability Resolution,chapter
14225,Capability Quality,13_LanguageSpecifications.md,Capability Quality,chapter
14242,Capability Versioning,13_LanguageSpecifications.md,Capability Versioning,chapter
14258,Capability Policies,13_LanguageSpecifications.md,Capability Policies,chapter
14272,Capability Packaging,13_LanguageSpecifications.md,Capability Packaging,chapter
14289,Capability Lifecycle,13_LanguageSpecifications.md,Capability Lifecycle,chapter
14335,Capability Definition Principles,13_LanguageSpecifications.md,Capability Definition Principles,chapter
14353,Policy Definition Language (PDL),13_LanguageSpecifications.md,Policy Definition Language (PDL),chapter
7060,Universal Engineering Object Model,14_ObjectModels.md,Universal Engineering Object Model,override
7084,Transparent Storage Abstraction,14_ObjectModels.md,Transparent Storage Abstraction,override
7101,Unified Engineering URI,14_ObjectModels.md,Unified Engineering URI,override
7146,Versioned Engineering Objects,14_ObjectModels.md,Versioned Engineering Objects,override
7182,Engineering Object Relationships,14_ObjectModels.md,Engineering Object Relationships,override
11870,Engineering Object Specification (EOS),14_ObjectModels.md,Engineering Object Specification (EOS),chapter
11882,Engineering Object Philosophy,14_ObjectModels.md,Engineering Object Philosophy,chapter
11901,Engineering Object Categories,14_ObjectModels.md,Engineering Object Categories,chapter
11974,Universal Object Identity,14_ObjectModels.md,Universal Object Identity,chapter
11992,Object Metadata,14_ObjectModels.md,Object Metadata,chapter
12014,Object Relationships,14_ObjectModels.md,Object Relationships,chapter
12036,Object Lifecycle,14_ObjectModels.md,Object Lifecycle,chapter
12074,Object Versioning,14_ObjectModels.md,Object Versioning,chapter
12091,Object Permissions,14_ObjectModels.md,Object Permissions,chapter
12110,Object Context,14_ObjectModels.md,Object Context,chapter
12127,Object Memory Binding,14_ObjectModels.md,Object Memory Binding,chapter
12143,Object Serialization,14_ObjectModels.md,Object Serialization,chapter
12160,Object Discovery,14_ObjectModels.md,Object Discovery,chapter
12176,Engineering Object Registry,14_ObjectModels.md,Engineering Object Registry,chapter
12195,Engineering Object Principles,14_ObjectModels.md,Engineering Object Principles,chapter
12213,AI Package Specification (AIP),14_ObjectModels.md,AI Package Specification (AIP),chapter
1463,Engineering Package Management,15_PackagesServices.md,Engineering Package Management,keyword
3322,Engineering Capability Marketplace,15_PackagesServices.md,Engineering Capability Marketplace,keyword
3860,Engineering Marketplace,15_PackagesServices.md,Engineering Marketplace,keyword
7798,AI Native Packages,15_PackagesServices.md,AI Native Packages,keyword
7818,Package Registry,15_PackagesServices.md,Package Registry,keyword
7835,Intelligent Package Resolution,15_PackagesServices.md,Intelligent Package Resolution,keyword
7851,AI Native Marketplace,15_PackagesServices.md,AI Native Marketplace,keyword
12223,AI Package Philosophy,15_PackagesServices.md,AI Package Philosophy,chapter
12246,AI Package Structure,15_PackagesServices.md,AI Package Structure,chapter
12310,AI Package Manifest,15_PackagesServices.md,AI Package Manifest,chapter
12335,Package Categories,15_PackagesServices.md,Package Categories,chapter
12417,Package Metadata,15_PackagesServices.md,Package Metadata,chapter
12438,Package Dependencies,15_PackagesServices.md,Package Dependencies,chapter
12454,Package Installation,15_PackagesServices.md,Package Installation,chapter
12496,Package Validation,15_PackagesServices.md,Package Validation,chapter
12514,Digital Signing,15_PackagesServices.md,Digital Signing,chapter
12546,Package Repository,15_PackagesServices.md,Package Repository,chapter
12563,Package Updates,15_PackagesServices.md,Package Updates,chapter
12579,Package Rollback,15_PackagesServices.md,Package Rollback,chapter
12594,Package Compatibility,15_PackagesServices.md,Package Compatibility,chapter
12611,Package Lifecycle,15_PackagesServices.md,Package Lifecycle,chapter
12657,Package Permissions,15_PackagesServices.md,Package Permissions,chapter
12676,Package Isolation,15_PackagesServices.md,Package Isolation,chapter
12692,Organizational Package Policies,15_PackagesServices.md,Organizational Package Policies,chapter
12709,Marketplace Compatibility,15_PackagesServices.md,Marketplace Compatibility,chapter
12726,AI Package Principles,15_PackagesServices.md,AI Package Principles,chapter
